2024-06-07 15:58:12,707	TRACE	evk.IxanaEVK.__init__	CALL *('68:03:E8:3F:09:02',) **{}
2024-06-07 15:58:12,708	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-07 15:58:12,951	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:12,955	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:13,053	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:13,054	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:13,056	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:13,059	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:13,171	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:13,174	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:13,176	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:13,177	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:13,181	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
2024-06-07 15:58:13,185	DEBUG	bleak.backends.winrt.scanner._received_handler	Received FA:0D:AC:D7:F5:8E: .
2024-06-07 15:58:13,291	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:13,292	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:13,297	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
