2024-06-10 12:51:11,496	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 12:51:11,500	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 12:51:11,835	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:11,848	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 70:CC:28:D1:D6:E0: .
2024-06-10 12:51:11,861	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 70:CC:28:D1:D6:E0: .
2024-06-10 12:51:11,951	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:12,070	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:51:12,536	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:51:12,540	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 12:51:12,656	DEBUG	bleak.backends.winrt.scanner._received_handler	Received DC:D8:71:59:A2:BA: .
2024-06-10 12:51:12,776	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:12,782	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:51:12,788	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:51:12,792	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:51:12,796	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:51:12,894	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:13,014	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:13,019	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
