2024-06-10 12:52:08,563	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 12:52:08,565	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 12:52:08,813	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:08,832	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:52:08,833	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 12:52:08,835	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:08,835	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:08,922	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:08,925	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:09,039	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:09,277	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:52:09,279	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 35:EC:C9:27:4B:10: .
2024-06-10 12:52:09,284	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:09,394	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:09,399	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 40:94:FE:DB:1A:A4: .
2024-06-10 12:52:09,516	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:52:09,643	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 10:66:A4:AB:BF:CE: .
2024-06-10 12:52:09,748	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:52:09,752	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:52:09,759	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:52:09,762	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 12:52:09,765	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:09,873	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:09,876	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:09,880	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:52:10,108	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:10,112	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:10,115	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:63:6E:1B:CD:A6: .
2024-06-10 12:52:10,218	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:10,229	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
