2024-06-10 12:51:54,251	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 12:51:54,253	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 12:51:54,524	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 60:52:98:47:91:F1: .
2024-06-10 12:51:54,739	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 32:04:DB:A2:5B:DC: .
2024-06-10 12:51:54,759	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:55,103	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 45:1C:A6:71:74:39: .
2024-06-10 12:51:55,218	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 35:EC:C9:27:4B:10: .
2024-06-10 12:51:55,222	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 35:EC:C9:27:4B:10: .
2024-06-10 12:51:55,337	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:51:55,340	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 12:51:55,459	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:51:55,466	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:51:55,469	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:51:55,475	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:51:55,480	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:51:55,569	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:51:55,576	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:55,580	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:51:55,586	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:51:55,590	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 12:51:55,823	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 70:CC:28:D1:D6:E0: .
2024-06-10 12:51:55,933	DEBUG	bleak.backends.winrt.scanner._received_handler	Received B0:B9:50:C2:82:94: .
2024-06-10 12:51:56,171	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 32:04:DB:A2:5B:DC: .
2024-06-10 12:51:56,177	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 32:04:DB:A2:5B:DC: .
2024-06-10 12:51:56,182	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:51:56,284	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:56,290	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6B:01:C4:E7:59:DB: .
2024-06-10 12:51:56,292	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6B:01:C4:E7:59:DB: .
2024-06-10 12:51:56,295	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:51:56,400	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:51:56,407	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:51:56,410	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 12:51:56,516	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:56,519	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:51:56,522	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:51:56,525	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:56,758	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3F:2F:C1:04:F8:8A: .
2024-06-10 12:51:56,768	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:56,771	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:56,872	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 10:2B:41:58:73:FB: .
2024-06-10 12:51:57,115	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:51:57,225	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:57,230	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:57,234	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:57,239	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:51:57,242	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:51:57,348	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:51:57,350	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:51:57,466	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:51:57,470	DEBUG	bleak.backends.winrt.scanner._received_handler	Received CC:38:32:34:3D:5A: Govee_H6099_3D5A.
2024-06-10 12:51:57,576	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:51:57,594	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 60:52:98:47:91:F1: .
2024-06-10 12:51:57,597	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 60:52:98:47:91:F1: .
2024-06-10 12:51:57,946	DEBUG	bleak.backends.winrt.scanner._received_handler	Received E2:C4:7E:E8:9B:69: .
2024-06-10 12:51:58,056	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 67:21:2A:99:06:D0: .
2024-06-10 12:51:58,061	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:58,183	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:51:58,188	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:51:58,288	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:51:58,302	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:58,405	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:51:58,409	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:51:58,417	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:51:58,421	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 12:51:58,426	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:51:58,429	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:51:58,524	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:51:58,536	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 12:51:58,892	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:58,995	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3F:2F:C1:04:F8:8A: .
2024-06-10 12:51:59,000	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:59,113	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:51:59,235	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:59,239	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:51:59,248	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:59,251	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:51:59,256	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:51:59,351	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:51:59,355	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:51:59,365	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:51:59,369	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:51:59,472	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:51:59,475	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:51:59,826	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:51:59,941	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 70:CC:28:D1:D6:E0: .
2024-06-10 12:51:59,945	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 70:CC:28:D1:D6:E0: .
2024-06-10 12:51:59,950	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:51:59,954	DEBUG	bleak.backends.winrt.scanner._received_handler	Received E2:C4:7E:E8:9B:69: .
2024-06-10 12:52:00,064	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:52:00,068	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 12:52:00,071	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:00,177	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:00,182	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:00,187	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 12:52:00,191	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: LE_WH-1000XM5.
2024-06-10 12:52:00,194	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5D:87:DF:22:4A:16: .
2024-06-10 12:52:00,301	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:52:00,307	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:00,312	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:00,536	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:52:00,544	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:52:00,657	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 12:52:00,784	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:52:01,014	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:01,123	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:01,131	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:01,136	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:01,237	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:01,256	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:01,367	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:52:01,372	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:52:01,378	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:01,383	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:01,387	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 12:52:01,392	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:52:01,477	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:52:01,481	DEBUG	bleak.backends.winrt.scanner._received_handler	Received CC:38:32:34:3D:5A: Govee_H6099_3D5A.
2024-06-10 12:52:01,597	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 67:21:2A:99:06:D0: .
2024-06-10 12:52:01,600	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 67:21:2A:99:06:D0: .
2024-06-10 12:52:01,721	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 12:52:01,727	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6D:FE:E6:82:51:6A: .
2024-06-10 12:52:01,841	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:52:01,948	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:6F:22:64:AF:39: .
2024-06-10 12:52:01,958	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:B0:DB:5A:61:DC: .
2024-06-10 12:52:02,077	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:24:7D:47:A7:63: .
2024-06-10 12:52:02,080	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0E:69:0A:C5:6A:CB: .
2024-06-10 12:52:02,188	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 12:52:02,194	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 12:52:02,200	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:02,203	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:02,302	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 12:52:02,305	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 12:52:02,312	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:52:02,421	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:DB:CE:88:A5:82: .
2024-06-10 12:52:02,427	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 12:52:02,430	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 12:52:02,548	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4C:4D:BA:E1:31:C4: .
2024-06-10 12:52:02,554	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6D:FE:E6:82:51:6A: .
