2024-06-10 14:44:27,229	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 14:44:27,230	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 14:44:27,440	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: LE_WH-1000XM5.
2024-06-10 14:44:27,443	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:27,444	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 08:9F:78:57:20:A1: .
2024-06-10 14:44:27,556	DEBUG	bleak.backends.winrt.scanner._received_handler	Received FA:0D:AC:D7:F5:8E: .
2024-06-10 14:44:27,668	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:3F:96:59:DF:EA: .
2024-06-10 14:44:27,669	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:93:A5:42:C8:E2: .
2024-06-10 14:44:27,672	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:93:A5:42:C8:E2: .
2024-06-10 14:44:27,675	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 14:44:27,678	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3D:AE:DC:2B:D0:6E: .
2024-06-10 14:44:27,788	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:27,789	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:27,793	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 74:14:73:B7:07:36: .
2024-06-10 14:44:27,794	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 74:14:73:B7:07:36: .
2024-06-10 14:44:27,797	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 22:5F:B1:BE:8A:FD: .
2024-06-10 14:44:27,801	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:FD:C4:F3:DA:B6: .
2024-06-10 14:44:27,804	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
