2024-06-10 14:44:57,836	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 14:44:57,836	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 14:44:57,997	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 14:44:58,001	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 14:44:58,114	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 14:44:58,115	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 14:44:58,119	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5C:38:07:05:A8:58: .
2024-06-10 14:44:58,123	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:44:58,230	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:44:58,231	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: Ixana YR22 EVK.
2024-06-10 14:44:58,232	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:10:7D:44:6D:85: .
2024-06-10 14:44:58,235	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 30:29:7C:13:D2:91: .
2024-06-10 14:44:58,353	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 14:44:58,354	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 14:44:58,361	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 22:5F:B1:BE:8A:FD: .
2024-06-10 14:44:58,364	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 08:FF:82:A4:A1:14: .
2024-06-10 14:44:58,472	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 08:FF:82:A4:A1:14: .
2024-06-10 14:44:58,474	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:8F:19:41:05:D1: .
2024-06-10 14:44:58,583	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:8F:19:41:05:D1: .
2024-06-10 14:44:58,592	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:54:9C:E6:83:E4: .
2024-06-10 14:44:58,702	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 32:E6:85:09:BB:58: .
2024-06-10 14:44:58,705	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 32:E6:85:09:BB:58: .
2024-06-10 14:44:58,708	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:58,710	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:58,833	DEBUG	bleak.backends.winrt.scanner._received_handler	Received D4:B0:3D:5D:13:47: .
2024-06-10 14:44:58,942	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 14:44:58,944	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 14:44:58,946	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 44:D5:E5:DD:27:3C: .
2024-06-10 14:44:58,947	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: LE_WH-1000XM5.
2024-06-10 14:44:58,949	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:59,296	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 22:5F:B1:BE:8A:FD: .
2024-06-10 14:44:59,302	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4A:9E:BD:5F:4C:2B: .
2024-06-10 14:44:59,305	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4A:9E:BD:5F:4C:2B: .
2024-06-10 14:44:59,308	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 74:14:73:B7:07:36: .
2024-06-10 14:44:59,309	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 74:14:73:B7:07:36: .
2024-06-10 14:44:59,419	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:8F:19:41:05:D1: .
2024-06-10 14:44:59,421	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 08:FF:82:A4:A1:14: .
2024-06-10 14:44:59,648	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:59,649	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:59,770	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: LE_WH-1000XM5.
2024-06-10 14:44:59,771	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4B:EF:CE:82:82:9E: .
2024-06-10 14:44:59,774	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 26:A7:46:D0:3A:F6: .
2024-06-10 14:44:59,776	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:BC:51:D5:C6:78: .
2024-06-10 14:44:59,780	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 14:44:59,782	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 14:44:59,887	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 14:44:59,888	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 14:44:59,896	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:44:59,898	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: Ixana YR22 EVK.
2024-06-10 14:45:00,001	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3D:AE:DC:2B:D0:6E: .
2024-06-10 14:45:00,005	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
