2024-06-10 14:50:26,635	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 14:50:26,636	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 14:50:26,921	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:DE:8C:55:D7:50: .
2024-06-10 14:50:27,024	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:DE:8C:55:D7:50: .
2024-06-10 14:50:27,030	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 14:50:27,036	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:A4:02:3C:38:A0: .
2024-06-10 14:50:27,148	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:A4:02:3C:38:A0: .
2024-06-10 14:50:27,259	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:27:37:44:4B:71: .
2024-06-10 14:50:27,391	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 30:29:7C:13:D2:91: .
2024-06-10 14:50:27,495	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 14:50:27,509	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 17:68:D7:54:77:A7: .
2024-06-10 14:50:27,510	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 17:68:D7:54:77:A7: .
2024-06-10 14:50:27,730	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 05:69:DC:3A:35:F6: .
2024-06-10 14:50:27,733	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:2A:CA:CD:C0:99: .
2024-06-10 14:50:27,862	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:50:27,863	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: Ixana YR22 EVK.
2024-06-10 14:50:27,865	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:DE:8C:55:D7:50: .
2024-06-10 14:50:27,971	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:50:27,972	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: Ixana YR22 EVK.
2024-06-10 14:50:27,974	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 14:50:27,975	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 14:50:28,092	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 08:9F:78:57:20:A1: .
2024-06-10 14:50:28,094	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 1D:AB:A0:CB:5C:27: .
2024-06-10 14:50:28,204	DEBUG	bleak.backends.winrt.scanner._received_handler	Received CD:3E:98:ED:EC:C9: .
2024-06-10 14:50:28,323	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 30:29:7C:13:D2:91: .
2024-06-10 14:50:28,455	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 14:50:28,457	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-10 14:50:28,558	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
