2024-06-10 14:50:14,863	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 14:50:14,864	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 14:50:15,023	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 14:50:15,027	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 14:50:15,258	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 1C:B2:66:A5:BA:DF: .
2024-06-10 14:50:15,264	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: .
2024-06-10 14:50:15,265	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:E8:3F:09:02: Ixana YR22 EVK.
2024-06-10 14:50:15,268	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 14:50:15,269	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 14:50:15,375	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5C:38:07:05:A8:58: .
2024-06-10 14:50:15,375	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 5C:38:07:05:A8:58: .
2024-06-10 14:50:15,493	DEBUG	bleak.backends.winrt.scanner._received_handler	Received C9:65:64:83:21:85: .
2024-06-10 14:50:15,498	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: .
2024-06-10 14:50:15,500	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: .
2024-06-10 14:50:15,503	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 15:DE:8C:55:D7:50: .
2024-06-10 14:50:15,611	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 14:50:15,613	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 14:50:15,623	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3E:52:DD:C0:5E:CB: .
2024-06-10 14:50:15,729	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:2A:CA:CD:C0:99: .
2024-06-10 14:50:15,731	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:A4:02:3C:38:A0: .
2024-06-10 14:50:15,738	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: LE_WH-1000XM5.
2024-06-10 14:50:15,739	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: .
2024-06-10 14:50:15,741	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 30:29:7C:13:D2:91: .
2024-06-10 14:50:15,965	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 74:14:73:B7:07:36: .
2024-06-10 14:50:15,968	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: .
2024-06-10 14:50:15,970	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 50:71:BC:90:32:65: .
2024-06-10 14:50:15,973	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
