2024-06-10 14:51:35,433	TRACE	evk.IxanaEVK.__init__	CALL *('68:05:16:46:BF:24',) **{}
2024-06-10 14:51:35,434	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 14:51:35,598	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 1C:B2:66:A5:BA:DF: .
2024-06-10 14:51:35,722	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:2A:CA:CD:C0:99: .
2024-06-10 14:51:35,831	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6A:96:21:14:3E:E5: .
2024-06-10 14:51:35,838	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3C:4F:2D:B4:B6:89: .
2024-06-10 14:51:35,842	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-10 14:51:35,844	DEBUG	bleak.backends.winrt.scanner._stopped_handler	5 devices found. Watcher status: <BluetoothLEAdvertisementWatcherStatus.STOPPED: 3>.
2024-06-10 14:51:35,854	DEBUG	bleak.backends.winrt.client.connect	Connecting to BLE device @ 68:05:16:46:BF:24
2024-06-10 14:51:35,856	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-10 14:51:35,934	DEBUG	bleak.backends.winrt.client.get_services	getting services (service_cache_mode=None, cache_mode=None)...
2024-06-10 14:51:37,038	DEBUG	bleak.backends.winrt.client.connect	max_pdu_size_changed event not received, using default
2024-06-10 14:51:37,654	DEBUG	bleak.backends.winrt.client.session_status_changed_event_handler	session_status_changed_event_handler: id: BluetoothLE#BluetoothLEe8:48:b8:c8:20:00-68:05:16:46:bf:24, error: <BluetoothError.SUCCESS: 0>, status: <GattSessionStatus.ACTIVE: 1>
2024-06-10 14:51:37,772	DEBUG	bleak.backends.winrt.client.session_status_changed_event_handler	session_status_changed_event_handler: id: BluetoothLE#BluetoothLEe8:48:b8:c8:20:00-68:05:16:46:bf:24, error: <BluetoothError.SUCCESS: 0>, status: <GattSessionStatus.CLOSED: 0>
2024-06-10 14:51:37,774	DEBUG	bleak.backends.winrt.client.handle_disconnect	closing requester
2024-06-10 14:51:37,811	DEBUG	bleak.backends.winrt.client.handle_disconnect	closing session
