2024-06-10 18:38:04,595	TRACE	evk.IxanaEVK.__init__	CALL *('68:03:E8:3F:09:02',) **{}
2024-06-10 18:38:04,595	DEBUG	asyncio.__init__	Using proactor: IocpProactor
2024-06-10 18:38:04,879	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 28:3B:0F:4F:00:CF: .
2024-06-10 18:38:04,894	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2E:B0:C7:AC:9B:C9: .
2024-06-10 18:38:04,894	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2E:B0:C7:AC:9B:C9: .
2024-06-10 18:38:04,989	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 28:3B:0F:4F:00:CF: .
2024-06-10 18:38:04,989	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: LE_WH-1000XM5.
2024-06-10 18:38:04,989	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:05,113	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:05,113	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:05,230	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-10 18:38:05,230	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 18:38:05,239	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 09:4C:B0:44:B8:46: .
2024-06-10 18:38:05,350	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: .
2024-06-10 18:38:05,350	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: Amdtp.
2024-06-10 18:38:05,459	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 00:AF:C2:52:0C:B6: .
2024-06-10 18:38:05,475	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:68:2E:01:9D: .
2024-06-10 18:38:05,475	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:68:2E:01:9D: Amdtp.
2024-06-10 18:38:05,583	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 60:CB:84:1F:61:32: .
2024-06-10 18:38:05,583	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 14:3E:25:F8:EC:57: .
2024-06-10 18:38:05,709	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-10 18:38:05,709	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-10 18:38:05,709	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4C:83:52:8A:AF:97: .
2024-06-10 18:38:05,709	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4C:83:52:8A:AF:97: .
2024-06-10 18:38:05,820	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 18:38:05,932	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 28:3B:0F:4F:00:CF: .
2024-06-10 18:38:06,183	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 76:83:C2:D0:68:F7: .
2024-06-10 18:38:06,183	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: .
2024-06-10 18:38:06,192	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: Amdtp.
2024-06-10 18:38:06,296	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 09:4C:B0:44:B8:46: .
2024-06-10 18:38:06,300	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 18:38:06,300	DEBUG	bleak.backends.winrt.scanner._received_handler	Received F8:77:B8:FF:80:9D: .
2024-06-10 18:38:06,412	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 00:AF:C2:52:0C:B6: .
2024-06-10 18:38:06,417	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:68:2E:01:9D: .
2024-06-10 18:38:06,417	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:68:2E:01:9D: Amdtp.
2024-06-10 18:38:06,427	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 18:38:06,427	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-10 18:38:06,539	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:2E:22:02:AB:FA: .
2024-06-10 18:38:06,647	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:2E:22:02:AB:FA: .
2024-06-10 18:38:06,654	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: LE_WH-1000XM5.
2024-06-10 18:38:06,657	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:06,662	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:06,665	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:06,879	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-10 18:38:06,886	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2E:B0:C7:AC:9B:C9: .
2024-06-10 18:38:06,886	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2E:B0:C7:AC:9B:C9: .
2024-06-10 18:38:07,002	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 28:3B:0F:4F:00:CF: .
2024-06-10 18:38:07,123	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:07,235	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 00:AF:C2:52:0C:B6: .
2024-06-10 18:38:07,240	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 09:4C:B0:44:B8:46: .
2024-06-10 18:38:07,246	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:08:EA:27:08:84: .
2024-06-10 18:38:07,250	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:08:EA:27:08:84: .
2024-06-10 18:38:07,250	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: .
2024-06-10 18:38:07,260	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-10 18:38:07,350	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: .
2024-06-10 18:38:07,356	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:06:34:3B:EF:9C: Amdtp.
2024-06-10 18:38:07,361	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-10 18:38:07,367	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-10 18:38:07,371	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4C:83:52:8A:AF:97: .
2024-06-10 18:38:07,372	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4C:83:52:8A:AF:97: .
2024-06-10 18:38:07,377	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: LE_WH-1000XM5.
2024-06-10 18:38:07,379	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:07,471	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: LE_WH-1000XM5.
2024-06-10 18:38:07,478	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 6F:27:81:22:50:6F: .
2024-06-10 18:38:07,480	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:08:EA:27:08:84: .
2024-06-10 18:38:07,587	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:08:EA:27:08:84: .
2024-06-10 18:38:07,587	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:08:EA:27:08:84: .
2024-06-10 18:38:07,594	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 60:CB:84:1F:61:32: .
